 2015-10-24 14:39:46,088 [P976/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.3.0 application starting on MUTEX
 2015-10-24 14:39:47,320 [P976/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2015-10-24 14:39:47,353 [P976/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 31ms)
 2015-10-24 14:39:48,293 [P976/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2015-10-24 14:39:48,932 [P976/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 639ms)
 2015-10-24 14:39:49,384 [P976/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2015-10-24 14:39:49,385 [P976/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
 2015-10-24 14:39:49,386 [P976/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2015-10-24 14:39:49,387 [P976/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 1ms)
 2015-10-24 14:39:49,436 [P976/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2015-10-24 14:39:49,437 [P976/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 1ms)
 2015-10-24 14:39:49,438 [P976/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2015-10-24 14:39:49,443 [P976/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 4ms)
 2015-10-24 14:39:49,905 [P976/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2015-10-24 14:39:49,906 [P976/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 1ms)
 2015-10-24 14:39:49,907 [P976/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2015-10-24 14:39:49,908 [P976/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2015-10-24 14:39:51,997 [P976/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-10-24 14:39:52,894 [P976/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-10-24 14:39:53,201 [P976/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-10-24 14:39:53,291 [P976/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2015-10-24 14:39:53,796 [P976/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2015-10-24 14:39:53,966 [P976/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2015-10-24 14:39:54,063 [P976/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 8786ms)
